Activity Id,Date,Type,Route Name,Distance (km),Duration,Average Pace,Average Speed (km/h),Calories Burned,Climb (m),Average Heart Rate (bpm),Friend's Tagged,Notes,GPX File
b2fcf898-872d-48ea-8d29-29e11191c5cf,2017-11-05 15:48:01,Running,,12.78,1:10:36,5:31,10.86,897.0,172,154,"","TomTom MySports Watch",2017-11-05-154801.gpx
88c26827-340d-4ef9-ba4e-e3fe1fdf6da4,2017-10-28 16:07:20,Running,,12.87,1:11:13,5:32,10.84,895.0,170,148,"","TomTom MySports Watch",2017-10-28-160720.gpx
85c4573b-109d-404a-a3ba-a0d62bdb9ffc,2017-10-19 18:22:10,Running,,8.85,50:41,5:44,10.47,624.0,144,140,"","TomTom MySports Watch",2017-10-19-182210.gpx
4d1cf5d9-cfc2-4020-892c-2deee6d125ed,2017-10-16 17:09:27,Running,,14.90,1:22:16,5:31,10.86,1045.0,215,146,"","TomTom MySports Watch",2017-10-16-170927.gpx
a734675d-6dca-437e-8bbe-0aaec901a5f2,2017-10-10 18:24:47,Running,,8.04,43:22,5:24,11.13,570.0,126,146,"","TomTom MySports Watch",2017-10-10-182447.gpx
8c38fe9f-c35b-416f-b77a-038777036e03,2017-10-07 16:29:17,Running,,18.67,1:48:11,5:48,10.36,1327.0,297,143,"","TomTom MySports Watch",2017-10-07-162917.gpx
83409eae-5b76-47b8-89f0-db1e04801fc9,2017-10-01 17:55:38,Running,,12.76,1:11:15,5:35,10.74,886.0,174,144,"","TomTom MySports Watch",2017-10-01-175538.gpx
acb25a0d-251b-4d39-86cd-63d49110d02e,2017-09-28 18:20:48,Running,,12.77,1:07:38,5:18,11.33,897.0,171,143,"","TomTom MySports Watch",2017-09-28-182048.gpx
685a3715-03e9-42ad-af5f-4d08ae973c14,2017-09-25 18:39:09,Running,,12.75,1:06:43,5:14,11.46,896.0,169,148,"","TomTom MySports Watch",2017-09-25-183909.gpx
4817879b-dedb-4b3d-a2e8-92d41757ccea,2017-09-22 12:27:14,Cycling,,49.18,2:42:32,3:18,18.15,852.0,367,,"","",2017-09-22-122714.gpx
